Type;MP;Beta
hat;0.05;8,24819654158109e-01
hat;0.05;5,06665005537629e-01
hat;0.05;8,19350733826539e-01
hat;0.05;9,01563490067585e-01
hat;0.05;6,79289735624723e-01
hat;0.05;1,16898397900693e+00
hat;0.05;9,07728580300131e-01
hat;0.05;1,16599805406313e+00
hat;0.05;1,17456483507452e+00
hat;0.05;6,04674242944023e-01
hat;0.05;7,60274087427512e-01
hat;0.05;7,37671476847233e-01
hat;0.05;8,05282515577390e-01
hat;0.05;8,76105507238849e-01
hat;0.05;9,91049352360055e-01
hat;0.05;1,02321296102569e+00
hat;0.05;7,57345071186214e-01
hat;0.05;7,61605582304728e-01
hat;0.05;9,48955048518999e-01
hat;0.05;1,07177026491217e+00
hat;0.05;9,00907873402793e-01
hat;0.05;1,17784913430923e+00
hat;0.05;7,60391793589513e-01
hat;0.05;1,11992738004300e+00
hat;0.05;6,73425396011256e-01
hat;0.05;5,73397675419756e-01
hat;0.05;1,30018298989928e+00
hat;0.05;1,37072752058840e+00
hat;0.05;4,79967234465274e-01
hat;0.05;5,12103635664766e-01
hat;0.05;8,87903363955256e-01
hat;0.05;8,95097697220865e-01
hat;0.05;4,75423764219480e-01
hat;0.05;6,70539515212804e-01
hat;0.05;1,16293574717347e+00
hat;0.05;1,10904906166760e+00
hat;0.05;9,54270613095274e-01
hat;0.05;9,26836492922981e-01
hat;0.05;6,37291011466130e-01
hat;0.05;7,74132327944254e-01
hat;0.05;8,93982056694618e-01
hat;0.05;9,03762855982186e-01
hat;0.05;7,52755078066497e-01
hat;0.05;7,43735657249417e-01
hat;0.05;1,12608544074863e+00
hat;0.05;9,35437564628739e-01
hat;0.05;1,01501214119613e+00
hat;0.05;5,84648458188106e-01
hat;0.05;8,50245941842815e-01
hat;0.05;8,64477719451397e-01
hat;0.05;7,34738606861703e-01
hat;0.05;9,21693451239635e-01
hat;0.05;9,26307473016037e-01
hat;0.05;4,75463217822874e-01
hat;0.05;7,53799779995779e-01
hat;0.05;1,06260149846947e+00
hat;0.05;7,83265098691683e-01
hat;0.05;9,35462791696287e-01
hat;0.05;6,59418977765505e-01
hat;0.05;3,61563368637657e-01
hat;0.05;9,99851762622946e-01
hat;0.05;7,54128589604189e-01
hat;0.05;8,96129912677287e-01
hat;0.05;1,07241410110460e+00
hat;0.05;6,40560542280754e-01
hat;0.05;7,44512093607924e-01
hat;0.05;8,41953563567216e-01
hat;0.05;8,79849347159967e-01
hat;0.05;4,80737162663301e-01
hat;0.05;8,78255642151994e-01
hat;0.05;4,90221660370802e-01
hat;0.05;4,56262562905980e-01
hat;0.05;6,88570805157165e-01
hat;0.05;9,72868625982391e-01
hat;0.05;7,81540976217734e-01
hat;0.05;1,07613054544911e+00
hat;0.05;1,10221095039575e+00
hat;0.05;9,67300815866796e-01
hat;0.05;9,15248763758732e-01
hat;0.05;7,79555131156963e-01
hat;0.05;1,21940175969793e+00
hat;0.05;8,30327057156385e-01
hat;0.05;9,34311744699479e-01
hat;0.05;7,06505433139239e-01
hat;0.05;8,22185940251586e-01
hat;0.05;5,55207025648054e-01
hat;0.05;9,09656666854303e-01
hat;0.05;1,29448376372852e+00
hat;0.05;6,89890572472125e-01
hat;0.05;6,78425252515898e-01
hat;0.05;9,77234474347323e-01
hat;0.05;9,25540604899775e-01
hat;0.05;4,84855426312130e-01
hat;0.05;6,63278375308511e-01
hat;0.05;8,36522240832140e-01
hat;0.05;5,41627314980855e-01
hat;0.05;7,46598817917055e-01
hat;0.05;1,05957244577275e+00
hat;0.05;9,22715517755438e-01
hat;0.05;9,21496406657377e-01
hat;0.05;7,21897500732963e-01
hat;0.05;1,05100738916383e+00
hat;0.05;5,33817634558038e-01
hat;0.05;1,36068252471354e+00
hat;0.05;7,57624325852936e-01
hat;0.05;1,11925651371899e+00
hat;0.05;5,50442078245082e-01
hat;0.05;1,15336759802279e+00
hat;0.05;7,77171882616932e-01
hat;0.05;7,00872883749907e-01
hat;0.05;1,18421414700814e+00
hat;0.05;9,71209112777452e-01
hat;0.05;5,17669592229396e-01
hat;0.05;7,56543535120798e-01
hat;0.05;9,66587618959870e-01
hat;0.05;6,55395914544791e-01
hat;0.05;8,81415016207362e-01
hat;0.05;8,33460388680178e-01
hat;0.05;1,00981734510691e+00
hat;0.05;3,28569303950527e-01
hat;0.05;8,54044783810275e-01
hat;0.05;6,20781009302058e-01
hat;0.05;9,12585788783338e-01
hat;0.05;8,51305070420949e-01
hat;0.05;9,94248021123718e-01
hat;0.05;6,13771767708248e-01
hat;0.05;7,03985579943913e-01
hat;0.05;1,04210959691015e+00
hat;0.05;1,23164100353950e+00
hat;0.05;8,93423702026898e-01
hat;0.05;9,47387164417049e-01
hat;0.05;1,04852475609244e+00
hat;0.05;1,00710195189939e+00
hat;0.05;7,81578292232218e-01
hat;0.05;1,00723185845969e+00
hat;0.05;8,01866777060020e-01
hat;0.05;1,20073424766784e+00
hat;0.05;9,23271258755918e-01
hat;0.05;8,49741733091929e-01
hat;0.05;1,01169325418401e+00
hat;0.05;6,95489465923558e-01
hat;0.05;6,93251285458721e-01
hat;0.05;5,58416504202674e-01
hat;0.05;8,83810118925396e-01
hat;0.05;8,88057350223481e-01
hat;0.05;4,85032880392809e-01
hat;0.05;6,97747894051085e-01
hat;0.05;1,07620638724691e+00
hat;0.05;9,13501644149298e-01
hat;0.05;8,40188924563165e-01
hat;0.05;6,35324029070205e-01
hat;0.05;7,40678288533869e-01
hat;0.05;7,56117665759072e-01
hat;0.05;1,36873302390985e+00
hat;0.05;6,57434789904495e-01
hat;0.05;8,03241277314572e-01
hat;0.05;8,57598912314259e-01
hat;0.05;1,04180105656267e+00
hat;0.05;7,05250556518929e-01
hat;0.05;7,48165035850659e-01
hat;0.05;1,05990849107424e+00
hat;0.05;3,98156324973756e-01
hat;0.05;5,61936307853019e-01
hat;0.05;1,14386548373658e+00
hat;0.05;1,08951021816032e+00
hat;0.05;9,18515393465000e-01
hat;0.05;7,24375899184332e-01
hat;0.05;5,48390689582115e-01
hat;0.05;9,76074040966048e-01
hat;0.05;5,20645209677723e-01
hat;0.05;7,61383349488208e-01
hat;0.05;7,70870345626908e-01
hat;0.05;5,49050779556963e-01
hat;0.05;8,75683236736167e-01
hat;0.05;3,82565009590683e-01
hat;0.05;9,22325917434804e-01
hat;0.05;9,13009693927335e-01
hat;0.05;9,73494858021270e-01
hat;0.05;8,16170661580338e-01
hat;0.05;6,35692193324346e-01
hat;0.05;9,84284209584430e-01
hat;0.05;8,04416237911463e-01
hat;0.05;1,07640544447133e+00
hat;0.05;7,46305413064243e-01
hat;0.05;3,12629863683774e-01
hat;0.05;1,26182233621715e+00
hat;0.05;3,65458420893955e-01
hat;0.05;1,02475109582414e+00
hat;0.05;8,18633826769431e-01
hat;0.05;1,27716435611867e+00
hat;0.05;7,76955568849221e-01
hat;0.05;1,30696737386743e+00
hat;0.05;5,44448769555036e-01
hat;0.05;5,61438696662533e-01
hat;0.05;9,46512923040626e-01
hat;0.05;4,54987668630048e-01
hat;0.05;3,82531300274491e-01
hat;0.05;1,21073568653007e+00
hat;0.05;9,46810644068263e-01
hat;0.05;7,71554642251112e-01
hat;0.05;6,93848880137998e-01
hat;0.05;1,17709534416458e+00
hat;0.05;8,71734526054766e-01
hat;0.05;7,97781502468909e-01
hat;0.05;1,01883325879565e+00
hat;0.05;8,51339751863929e-01
hat;0.05;1,18289352295348e+00
hat;0.05;8,23876454294761e-01
hat;0.05;7,58845002597317e-01
hat;0.05;1,23221354611982e+00
hat;0.05;6,79011175869077e-01
hat;0.05;1,01742465244836e+00
hat;0.05;8,35508158867177e-01
hat;0.05;7,31760400622968e-01
hat;0.05;8,22304684178104e-01
hat;0.05;8,38065405796912e-01
hat;0.05;7,95616498686668e-01
hat;0.05;1,25100464569410e+00
hat;0.05;1,01837887233392e+00
hat;0.05;9,88030217606625e-01
hat;0.05;4,63064314335968e-01
hat;0.05;8,29053130435811e-01
hat;0.05;8,63308901924173e-01
hat;0.05;6,50886287802452e-01
hat;0.05;9,15066399305672e-01
hat;0.05;9,53584570905056e-01
hat;0.05;6,59075000190550e-01
hat;0.05;7,36465216856709e-01
hat;0.05;5,69298493282603e-01
hat;0.05;1,35242130818291e+00
hat;0.05;8,37288428937558e-01
hat;0.05;8,27198552403586e-01
hat;0.05;1,12980173965471e+00
hat;0.05;9,09704902331849e-01
hat;0.05;1,02979634650081e+00
hat;0.05;1,06614185549293e+00
hat;0.05;9,22653512440237e-01
hat;0.05;7,09389385225416e-01
hat;0.05;7,44776796184814e-01
hat;0.05;9,30312249585429e-01
hat;0.05;6,78633923196988e-01
hat;0.05;9,14942366957612e-01
hat;0.05;9,38869042002291e-01
hat;0.05;9,15865727587668e-01
hat;0.05;1,33659623271417e+00
hat;0.05;1,22207000341487e+00
hat;0.05;7,93899410053068e-01
hat;0.05;4,12076313651121e-01
hat;0.05;1,18156678984711e+00
hat;0.05;9,02537292145509e-01
hat;0.05;5,54076007018768e-01
hat;0.05;5,50044727585446e-01
hat;0.05;9,27116225852748e-01
hat;0.05;6,62043364035919e-01
hat;0.05;8,04412360182992e-01
hat;0.05;9,45760922087932e-01
hat;0.05;1,09556354214520e+00
hat;0.05;1,17166303686762e+00
hat;0.05;8,58837177557685e-01
hat;0.05;1,21432045818247e+00
hat;0.05;6,81337334755807e-01
hat;0.05;1,00065945733272e+00
hat;0.05;6,83352038215978e-01
hat;0.05;8,66801989882523e-01
hat;0.05;7,65042158725558e-01
hat;0.05;9,31200446911350e-01
hat;0.05;1,05510507971690e+00
hat;0.05;5,09768476778355e-01
hat;0.05;7,47042170212945e-01
hat;0.05;8,61181411980195e-01
hat;0.05;8,38908871196182e-01
hat;0.05;1,05976193576904e+00
hat;0.05;8,11213448579432e-01
hat;0.05;1,04590955524551e+00
hat;0.05;7,52482101492344e-01
hat;0.05;6,50017539124472e-01
hat;0.05;9,70944328933774e-01
hat;0.05;1,10153375212636e+00
hat;0.05;9,74977523293176e-01
hat;0.05;3,47676826114443e-01
hat;0.05;6,21633302172728e-01
hat;0.05;9,76439324108909e-01
hat;0.05;9,86265529533337e-01
hat;0.05;7,90726147708505e-01
hat;0.05;8,05901533846362e-01
hat;0.05;6,56110679005397e-01
hat;0.05;7,42941051677312e-01
hat;0.05;2,10603268833598e-01
hat;0.05;1,28892808980834e+00
hat;0.05;4,67578939055256e-01
hat;0.05;1,11892240065037e+00
hat;0.05;6,85220803233695e-01
hat;0.05;1,13068137538680e+00
hat;0.05;4,90518201037903e-01
hat;0.05;8,61324135313739e-01
hat;0.05;5,70217700949683e-01
hat;0.05;5,19162322871954e-01
hat;0.05;7,96209199301869e-01
hat;0.05;1,25609435770939e+00
hat;0.05;1,17857958508551e+00
hat;0.05;1,29988459529845e+00
hat;0.05;8,34159376204742e-01
hat;0.05;4,73424858814522e-01
hat;0.05;1,07273681001332e+00
hat;0.05;1,16742221458195e+00
hat;0.05;8,27180383602756e-01
hat;0.05;8,21866034862050e-01
hat;0.05;8,73486379156624e-01
hat;0.05;3,49340627240026e-01
hat;0.05;8,36274067891765e-01
hat;0.05;5,85115244854034e-01
hat;0.05;9,50917568203243e-01
hat;0.05;8,20543364431705e-01
hat;0.05;1,11508233490409e+00
hat;0.05;6,08278020503935e-01
hat;0.05;8,06763834682626e-01
hat;0.05;9,30660733291958e-01
hat;0.05;4,98728547763384e-01
hat;0.05;9,95584628473701e-01
hat;0.05;9,23534184773289e-01
hat;0.05;1,22924842034586e+00
hat;0.05;5,60988070949802e-01
hat;0.05;8,03053231706328e-01
hat;0.05;8,25558316734973e-01
hat;0.05;1,00156983152494e+00
hat;0.05;1,19213338478407e+00
